id,categoria,intencao,pergunta,resposta
1,glicose,info_glicose,qual é o valor normal de glicose no sangue,A glicemia normal em jejum está entre 70 e 99 mg/dL. Acima de 126 mg/dL pode indicar diabetes.
2,glicose,info_glicose,minha glicemia está alta o que fazer,Glicemia alta pode indicar pré-diabetes ou diabetes. Consulte um médico e evite açúcares e carboidratos refinados.
3,glicose,info_glicose,o que é pré-diabetes,Pré-diabetes ocorre quando a glicemia em jejum está entre 100 e 125 mg/dL. É reversível com dieta e exercício.
4,glicose,info_glicose,como medir a taxa de açúcar no sangue,"Use um glicosímetro em jejum de 8 horas. Fure o dedo, aplique a gota na fita e leia o valor em segundos."
5,glicose,info_glicose,qual o perigo de glicose muito baixa,"Hipoglicemia (glicose < 70 mg/dL) causa tontura, tremores e pode levar ao desmaio. Consuma açúcar ou suco imediatamente."
6,glicose,info_glicose,glicose 130 é perigoso,Glicemia de 130 mg/dL em jejum está acima do normal (≥ 126 mg/dL pode indicar diabetes). Procure avaliação médica.
7,glicose,info_glicose,alimentos que aumentam a glicose,"Alimentos ricos em carboidratos simples (pão branco, arroz branco, doces, refrigerantes) elevam rapidamente a glicose."
8,glicose,info_glicose,diabetes tipo 2 tem cura,"Diabetes tipo 2 não tem cura, mas é controlável com alimentação, exercício e medicação. Diagnóstico precoce é fundamental."
9,pressao,info_pressao,qual é a pressão arterial normal,A pressão ideal é abaixo de 120/80 mmHg. Entre 120–139/80–89 é normal limítrofe. Acima de 140/90 é hipertensão.
10,pressao,info_pressao,o que causa pressão alta,"Causas: excesso de sal, sedentarismo, obesidade, estresse, genética e envelhecimento. A maioria é controlável."
11,pressao,info_pressao,sintomas de pressão alta,"Hipertensão geralmente é silenciosa. Quando sintomática: dor de cabeça, visão turva, tontura e zumbido no ouvido."
12,pressao,info_pressao,como baixar a pressão naturalmente,"Reduza sal, pratique exercícios aeróbicos, controle o estresse, evite álcool e cigarro, mantenha peso saudável."
13,pressao,info_pressao,pressão 160 por 100 é grave,"Sim, 160/100 mmHg é Hipertensão Grau 2. Requer avaliação médica urgente e possivelmente medicação."
14,pressao,info_pressao,como medir a pressão corretamente,"Sente-se, descanse 5 minutos, braço na altura do coração, manguito no braço nu. Repita 2x e tire a média."
15,pressao,info_pressao,pressão baixa tontura o que fazer,"Hipotensão (< 90/60 mmHg) com tontura: deite e eleve as pernas, hidrate-se. Se persistir, procure atendimento médico."
16,pressao,info_pressao,hipertensão tem cura,"A hipertensão essencial não tem cura, mas é controlada com medicação e mudanças no estilo de vida."
17,imc,info_imc,como calcular meu imc,"Divida seu peso (kg) pela altura ao quadrado (m²). Exemplo: 70 kg ÷ (1,70)² = 70 ÷ 2,89 = IMC 24,2 (normal)."
18,imc,info_imc,imc 32 é considerado obeso,"Sim. IMC entre 30 e 34,9 é Obesidade Grau I. Representa risco aumentado para diabetes, hipertensão e doenças cardiovasculares."
19,imc,info_imc,qual imc é considerado saudável,"IMC entre 18,5 e 24,9 é considerado peso normal pela OMS. Entre 25 e 29,9 é sobrepeso."
20,imc,info_imc,perder peso melhora o imc,"Sim. Cada kg perdido reduz o IMC em aproximadamente 0,35 pontos (para altura de 1,70 m). Pequenas reduções já trazem benefícios."
